id,Title,Abstract,Author,Link,Publish Date,Update Date,Primary Category,Category,Publish Year,Category_New
cs/9808002v1,Downward Collapse from a Weaker Hypothesis,"hemaspaandra et al. proved that, for $m > 0$ and $0 < i < k - 1$: if $\sigma_i^p \boldfacedelta diff_m(\sigma_k^p)$ is closed under complementation, then $diff_m(\sigma_k^p) = codiff_m(\sigma_k^p)$. this sharply asymmetric result fails to apply to the case in which the hypothesis is weakened by allowing the $\sigma_i^p$ to be replaced by any class in its difference hierarchy. we so extend the result by proving that, for $s,m > 0$ and $0 < i < k - 1$: if $diff_s(\sigma_i^p) \boldfacedelta diff_m(\sigma_k^p)$ is closed under complementation, then $diff_m(\sigma_k^p) = codiff_m(\sigma_k^p)$.",Edith Hemaspaandra,http://arxiv.org/pdf/cs/9808002v1,1998-08-24T21:37:54Z,1998-08-24T21:37:54Z,cs.CC,"['cs.CC', 'F.1.3']",1998,cs
cs/9809065v1,"Feedback Consolidation Algorithms for ABR Point-to-Multipoint
  Connections in ATM Networks","abr traffic management for point-to-multipoint connections controls the source rate to the minimum rate supported by all the branches of the multicast tree. a number of algorithms have been developed for extending abr congestion avoidance algorithms to perform feedback consolidation at the branch points. this paper discusses various design options and implementation alternatives for the consolidation algorithms, and proposes a number of new algorithms. the performance of the proposed algorithms and the previous algorithms is compared under a variety of conditions. results indicate that the algorithms we propose eliminate the consolidation noise (caused if the feedback is returned before all branches respond), while exhibiting a fast transient response.",Sonia Fahmy,http://arxiv.org/pdf/cs/9809065v1,1998-09-23T16:22:42Z,1998-09-23T16:22:42Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9809105v1,Hyper-Systolic Matrix Multiplication,a novel parallel algorithm for matrix multiplication is presented. the hyper-systolic algorithm makes use of a one-dimensional processor abstraction. the procedure can be implemented on all types of parallel systems. it can handle matrix-vector multiplications as well as transposed matrix products.,Thomas Lippert,http://arxiv.org/pdf/cs/9809105v1,1998-09-24T20:56:11Z,1998-09-24T20:56:11Z,cs.MS,"['cs.MS', 'D.1.3; G.4']",1998,cs
cs/9809002v1,Tally NP Sets and Easy Census Functions,"we study the question of whether every p set has an easy (i.e., polynomial-time computable) census function. we characterize this question in terms of unlikely collapses of language and function classes such as the containment of #p_1 in fp, where #p_1 is the class of functions that count the witnesses for tally np sets. we prove that every #p_{1}^{ph} function can be computed in fp^{#p_{1}^{#p_{1}}}. consequently, every p set has an easy census function if and only if every set in the polynomial hierarchy does. we show that the assumption of #p_1 being contained in fp implies p = bpp and that ph is contained in mod_{k}p for each k \geq 2, which provides further evidence that not all sets in p have an easy census function. we also relate a set's property of having an easy census function to other well-studied properties of sets, such as rankability and scalability (the closure of the rankable sets under p-isomorphisms). finally, we prove that it is no more likely that the census function of any set in p can be approximated (more precisely, can be n^{\alpha}-enumerated in time n^{\beta} for fixed \alpha and \beta) than that it can be precisely computed in polynomial time.",Judy Goldsmith,http://arxiv.org/pdf/cs/9809002v1,1998-09-01T12:15:55Z,1998-09-01T12:15:55Z,cs.CC,"['cs.CC', 'F.1.3']",1998,cs
cs/9809099v1,"A Quantitative Measure Of Fairness And Discrimination For Resource
  Allocation In Shared Computer Systems","fairness is an important performance criterion in all resource allocation schemes, including those in distributed computer systems. however, it is often specified only qualitatively. the quantitative measures proposed in the literature are either too specific to a particular application, or suffer from some undesirable characteristics. in this paper, we have introduced a quantitative measure called indiex of frairness. the index is applicable to any resource sharing or allocation problem. it is independent of the amount of the resource. the fairness index always lies between 0 and 1. this boundedness aids intuitive understanding of the fairness index. for example, a distribution algorithm with a fairness of 0.10 means that it is unfair to 90% of the users. also, the discrimination index can be defined as 1 - fairness index.",R. Jain,http://arxiv.org/pdf/cs/9809099v1,1998-09-24T05:27:34Z,1998-09-24T05:27:34Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
cs/9809125v1,"Distributed Computation, the Twisted Isomorphism, and Auto-Poiesis","this paper presents a synchronization-based, multi-process computational model of anticipatory systems called the phase web. it describes a self-organizing paradigm that explicitly recognizes and exploits the existence of a boundary between inside and outside, accepts and exploits intentionality, and uses explicit self-reference to describe eg. auto-poiesis. the model explicitly connects computation to a discrete clifford algebraic formalization that is in turn extended into homology and co-homology, wherein the recursive nature of objects and boundaries becomes apparent and itself subject to hierarchical recursion. topsy, a computer program embodying the phase web, is available at www.cs.auc.dk/topsy.",Michael Manthey,http://arxiv.org/pdf/cs/9809125v1,1998-09-14T14:42:26Z,1998-09-14T14:42:26Z,cs.DC,"['cs.DC', 'F.1']",1998,cs
cs/9810027v1,Linguistic Reflection in Java,"reflective systems allow their own structures to be altered from within. here we are concerned with a style of reflection, called linguistic reflection, which is the ability of a running program to generate new program fragments and to integrate these into its own execution. in particular we describe how this kind of reflection may be provided in the compiler-based, strongly typed object-oriented programming language java. the advantages of the programming technique include attaining high levels of genericity and accommodating system evolution. these advantages are illustrated by an example taken from persistent programming which shows how linguistic reflection allows functionality (program code) to be generated on demand (just-in-time) from a generic specification and integrated into the evolving running program. the technique is evaluated against alternative implementation approaches with respect to efficiency, safety and ease of use.",G. N. C. Kirby,http://arxiv.org/pdf/cs/9810027v1,1998-10-29T14:30:59Z,1998-10-29T14:30:59Z,cs.PL,"['cs.PL', 'D.1.0']",1998,cs
cs/9811025v2,A Structured Language Model,"the paper presents a language model that develops syntactic structure and uses it to extract meaningful information from the word history, thus enabling the use of long distance dependencies. the model assigns probability to every joint sequence of words - binary-parse-structure with headword annotation. the model, its probabilistic parametrization, and a set of experiments meant to evaluate its predictive power are presented.",Ciprian Chelba,http://arxiv.org/pdf/cs/9811025v2,1998-11-13T16:53:15Z,2000-01-25T15:46:48Z,cs.CL,"['cs.CL', 'G.3, I.2.7, I.5.1, I.5.4']",1998,cs
cs/9809026v1,Prefix Probabilities from Stochastic Tree Adjoining Grammars,"language models for speech recognition typically use a probability model of the form pr(a_n | a_1, a_2, ..., a_{n-1}). stochastic grammars, on the other hand, are typically used to assign structure to utterances. a language model of the above form is constructed from such grammars by computing the prefix probability sum_{w in sigma*} pr(a_1 ... a_n w), where w represents all possible terminations of the prefix a_1 ... a_n. the main result in this paper is an algorithm to compute such prefix probabilities given a stochastic tree adjoining grammar (tag). the algorithm achieves the required computation in o(n^6) time. the probability of subderivations that do not derive any words in the prefix, but contribute structurally to its derivation, are precomputed to achieve termination. this algorithm enables existing corpus-based estimation techniques for stochastic tags to be used for language modelling.",Mark-Jan Nederhof,http://arxiv.org/pdf/cs/9809026v1,1998-09-18T03:45:45Z,1998-09-18T03:45:45Z,cs.CL,"['cs.CL', 'I.2.7; D.3.1']",1998,cs
cs/9809088v1,Myths about Congestion Management in High Speed Networks,"weaknesses in several recently proposed ideas about congestion control and avoidance in high-speed netwroks are identified. both sides of the debate concerning prior reservation of resources versus walk-in service, open-loop control versus feedback control, rate control versus window control, and router-based control versus source-based control are presented. the circumstances under which backpressure is useful or not are discussed, and it is argued that a single congestion scheme is not sufficient, but that a combination of several schemes is required for complete congestion management in a network.",R. Jain,http://arxiv.org/pdf/cs/9809088v1,1998-09-24T04:48:52Z,1998-09-24T04:48:52Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs
