id,Title,Abstract,Author,Link,Publish Date,Update Date,Primary Category,Category,Publish Year,Category_New,Subcategory
cs/9809089v1,"Performance Analysis of FDDI Token Ring Networks: Effect of Parameters
  and Guidelines for Setting TTRT","the performance of fiber-distributed data interface (fddi) depends upon several workload parameters; for example; the arrival pattern, frame size, and configuration parameters, such as the number of stations on the ring, extent of the ring, and number of stations that are waiting to transmit. in addition, the performance is affected by a parameter called the target token rotation time (ttrt), which can be controlled by the network manager. we considered the effect of ttrt on various performance metrics for different ring configurations and concluded that a ttrt value of 8 ms provides a good performance over a wide range of configurations and workloads.",R. Jain,http://arxiv.org/pdf/cs/9809089v1,1998-09-24T04:51:20Z,1998-09-24T04:51:20Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809114v1,The descriptive complexity approach to LOGCFL,"building upon the known generalized-quantifier-based first-order characterization of logcfl, we lay the groundwork for a deeper investigation. specifically, we examine subclasses of logcfl arising from varying the arity and nesting of groupoidal quantifiers. our work extends the elaborate theory relating monoidal quantifiers to nc1 and its subclasses. in the absence of the bit predicate, we resolve the main issues: we show in particular that no single outermost unary groupoidal quantifier with fo can capture all the context-free languages, and we obtain the surprising result that a variant of greibach's ``hardest context-free language'' is logcfl-complete under quantifier-free bit-free projections. we then prove that fo with unary groupoidal quantifiers is strictly more expressive with the bit predicate than without. considering a particular groupoidal quantifier, we prove that first-order logic with majority of pairs is strictly more expressive than first-order with majority of individuals. as a technical tool of independent interest, we define the notion of an aperiodic nondeterministic finite automaton and prove that fo translations are precisely the mappings computed by single-valued aperiodic nondeterministic finite transducers.",Clemens Lautemann,http://arxiv.org/pdf/cs/9809114v1,1998-09-28T07:57:32Z,1998-09-28T07:57:32Z,cs.CC,"['cs.CC', 'F.1.3']",1998,cs,CC
cs/9811016v1,Comparing a statistical and a rule-based tagger for German,"in this paper we present the results of comparing a statistical tagger for german based on decision trees and a rule-based brill-tagger for german. we used the same training corpus (and therefore the same tag-set) to train both taggers. we then applied the taggers to the same test corpus and compared their respective behavior and in particular their error rates. both taggers perform similarly with an error rate of around 5%. from the detailed error analysis it can be seen that the rule-based tagger has more problems with unknown words than the statistical tagger. but the results are opposite for tokens that are many-ways ambiguous. if the unknown words are fed into the taggers with the help of an external lexicon (such as the gertwol system) the error rate of the rule-based tagger drops to 4.7%, and the respective rate of the statistical taggers drops to around 3.7%. combining the taggers by using the output of one tagger to help the other did not lead to any further improvement.",Martin Volk,http://arxiv.org/pdf/cs/9811016v1,1998-11-11T11:06:34Z,1998-11-11T11:06:34Z,cs.CL,"['cs.CL', 'I.2.7']",1998,cs,CL
cs/9810026v1,"The Railroad Crossing Problem: An Experiment with Instantaneous Actions
  and Immediate Reactions",we give an evolving algebra solution for the well-known railroad crossing problem and use the occasion to experiment with agents that perform instantaneous actions in continuous time and in particular with agents that fire at the moment they are enabled.,Yuri Gurevich,http://arxiv.org/pdf/cs/9810026v1,1998-10-26T19:24:37Z,1998-10-26T19:24:37Z,cs.SE,"['cs.SE', 'D.2.4']",1998,cs,SE
cs/9809112v1,"On the Evaluation and Comparison of Taggers: The Effect of Noise in
  Testing Corpora","this paper addresses the issue of {\sc pos} tagger evaluation. such evaluation is usually performed by comparing the tagger output with a reference test corpus, which is assumed to be error-free. currently used corpora contain noise which causes the obtained performance to be a distortion of the real value. we analyze to what extent this distortion may invalidate the comparison between taggers or the measure of the improvement given by a new system. the main conclusion is that a more rigorous testing experimentation setting/designing is needed to reliably evaluate and compare tagger accuracies.",L. Padro,http://arxiv.org/pdf/cs/9809112v1,1998-09-28T07:49:11Z,1998-09-28T07:49:11Z,cs.CL,"['cs.CL', 'I.2.7']",1998,cs,CL
cs/9809059v1,The ERICA Switch Algorithm for ABR Traffic Management in ATM Networks,"we propose an explicit rate indication scheme for congestion avoidance in atm networks. in this scheme, the network switches monitor their load on each link, determining a load factor, the available capacity, and the number of currently active virtual channels. this information is used to advise the sources about the rates at which they should transmit. the algorithm is designed to achieve efficiency, fairness, controlled queueing delays, and fast transient response. the algorithm is also robust to measurement errors caused due to variation in abr demand and capacity. we present performance analysis of the scheme using both analytical arguments and simulation results. the scheme is being implemented by several atm switch manufacturers.",Shivkumar Kalyanaraman,http://arxiv.org/pdf/cs/9809059v1,1998-09-23T15:18:30Z,1998-09-23T15:18:30Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809065v1,"Feedback Consolidation Algorithms for ABR Point-to-Multipoint
  Connections in ATM Networks","abr traffic management for point-to-multipoint connections controls the source rate to the minimum rate supported by all the branches of the multicast tree. a number of algorithms have been developed for extending abr congestion avoidance algorithms to perform feedback consolidation at the branch points. this paper discusses various design options and implementation alternatives for the consolidation algorithms, and proposes a number of new algorithms. the performance of the proposed algorithms and the previous algorithms is compared under a variety of conditions. results indicate that the algorithms we propose eliminate the consolidation noise (caused if the feedback is returned before all branches respond), while exhibiting a fast transient response.",Sonia Fahmy,http://arxiv.org/pdf/cs/9809065v1,1998-09-23T16:22:42Z,1998-09-23T16:22:42Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9809048v1,laboratories for Data Communications and Computer Networks,"in this paper we describe a hands-on laboratory oriented instructional package that we have developed for data communications and networking. the package consists of a software tool, together with instructional material for a laboratory based networking curriculum. the software is based on a simulation environment that enables the student to experiment with various networking protocols, on an easy to use graphical user interface (gui). data message flows, packet losses, control/routing message flows, virtual circuit setups, link failures, bit errors etc., are some of the features that can be visualized in this environment. the student can also modify the networking components provided, as well as add new components using the c programming language. the instructional material consists of a set of laboratory exercises for flow and error control (hdlc), ieee 802.3 csma/cd protocol, the token ring protocol, interconnecting lans via bridges, tcp congestion avoidance and control, ip fragmentation and reassembly, atm pnni routing and atm policing. the laboratory exercises have facilitated the development of a networking curriculum based on both the traditional computer networking principles, as well as the new technologies in telecommunication networking. the laboratory environment has been used in the networking curriculum at the ohio state university, and is being piloted at other universities. the entire package is freely available over the internet.",Rohit Goyal,http://arxiv.org/pdf/cs/9809048v1,1998-09-23T02:21:12Z,1998-09-23T02:21:12Z,cs.NI,"['cs.NI', 'C.2.1']",1998,cs,NI
cs/9811027v1,Push vs. Pull in Web-Based Network Management,"in this paper, we show how web technologies can be used effectively to (i) address some of the deficiencies of traditional ip network management platforms, and (ii) render these expensive platforms redundant. we build on the concept of embedded management application, proposed by wellens and auerbach, and present two models of network management application designs that rely on web technologies. first, the pull model is based on the request/response paradigm. it is typically used to perform data polling. several commercial management platforms already use web technologies that rely on this model to provide for ad hoc management; we demonstrate how to extend this to regular management. second, the push model is a novel approach which relies on the publish/subscribe/distribute paradigm. it is better suited to regular management than the pull model, and allows administrators to conserve network bandwidth as well as cpu time on the management station. it can be seen as a generalization of the paradigm commonly used for notification delivery. finally, we introduce the concept of the collapsed network management platform, where these two models coexist.",J. P. Martin-Flatin,http://arxiv.org/pdf/cs/9811027v1,1998-11-20T14:33:36Z,1998-11-20T14:33:36Z,cs.NI,"['cs.NI', 'C.2.3; C.2.4']",1998,cs,NI
cs/9809102v1,Analysis of Performance of Dynamic Multicast Routing Algorithms,"in this paper, three new dynamic multicast routing algorithms based on the greedy tree technique are proposed; source optimised tree, topology based tree and minimum diameter tree. a simulation analysis is presented showing various performance aspects of the algorithms, in which a comparison is made with the greedy and core based tree techniques. the effects of the tree source location on dynamic membership change are also examined. the simulations demonstrate that the source optimised tree algorithm achieves a significant improvement in terms of delay and link usage when compared to the core based tree, and greedy algorithm.",Jaihyung Cho,http://arxiv.org/pdf/cs/9809102v1,1998-09-24T08:04:52Z,1998-09-24T08:04:52Z,cs.NI,"['cs.NI', 'C.2.2;C.4']",1998,cs,NI
